grant_ID_with_letters,amount_requested,approval_route,board_approval_date,concept_summary,project_summary,project_title,fip_title,grant_officer,state,status,,,,
G-2205-85,219222,Next Approval Cycle,2022-01-25,"The purpose of the grant is to strengthen the rule of law in climate and energy policy in Serbia in accordance with EU and international commitments. To attract foreign investments, the Serbian government often declares projects to be of national interest so that it can apply laws flexibly or selectively to benefit investors. Such investments lack transparency and place private interests ahead of those of the public. There is no legal definition of the national interest in Serbian law, nor are there strictly and clearly defined conditions and criteria that must be met for it. As such, excessively wide discretionary powers are available to the government. The public has no access to government decisions on this matter. In order to fix these issues,  RERI will utilise the extensive interdisciplinary expertise to conduct: 
• Legal analyses of foreign investments overall impact on rule of law and capacities of the Republic of Serbia to comply with the EU and UN environmental and climate standards and objectives;
• Monitoring the alignment of planning (national, regional and local spatial plans), policy and strategic documents with the requirements of the Paris Agreement and the Green Agenda for the Western Balkans (pillars: decarbonisation and depollution);
• Legal cases and strategic litigation in cases where breaching of climate and environmental legislation occurs.",to strengthen the rule of law in climate and energy policy in Serbia in accordance with EU and international commitments.,to strengthen the rule of law in climate and energy policy in Serbia in accordance with EU and international commitments (FDIs),0,Pat Taylor,closed,managed,,,,
G-2205-86,181537,Next Approval Cycle,2023-04-17,"The purpose of this grant is to continue support to Counter Balance’s work focused on securing the EIB’s continued leadership on climate and monitoring the alignment of the banks’ activities with the Paris Agreement. Under this grant, Counter Balance is seeking to ensure that the bank delivers on its promise to become an “EU Climate Banks” and implement a comprehensive ban on fossil fuels. Counter Balance will continue to coordinate the Fossil Free EIB campaign, which in under this grant will be organised around the EIB’s next milestones notably the mid-term review of the EIB energy lending policy and the mid-term review of the EIB Climate Roadmap.",to coordinate an NGO campaign to ensure the European Investment Bank delivers on the promise to become the 'EU Climate Bank' and implements a comprehensive ban on fossil fuels.,NGO campaign for EIB becoming the 'EU Climate Bank',0,Morgan Lee,granted,managed,,,,
G-2205-87,256431,Next Approval Cycle,2022-06-08,"The purpose of this grant is to continue support to NABU’s work fostering ambitious requirements for biodiversity and climate change within sustainable finance policy and regulation at the EU and Germany levels. Under this grant, NABU is seeking to further engage on the EU Taxonomy, boost its capacity and profile on sustainable finance policy, with the ultimate goal of integrating climate and biodiversity into EU and German public finance policy and regulation.",to advance effective and ambitious climate and biodiversity regulations in sustainable finance and public finance in Germany and the EU.,Sustainable public finance in Germany and EU,0,Jamie Smith,granted,managed,,,,
G-2205-88,87866,Next Approval Cycle,2022-10-30,"The Ukraine war and cost of living crisis are contributing to a national conversation about what causes food insecurity, and political pressure from the NFU and others to slow down the agricultural transition. The Nature Friendly Farming Network (NFFN) is proposing a campaign to show that the agricultural transition is in fact essential to shoring up food security for the long term. It will counter the NFU's advocacy activities at constituency level by developing a similar operation of its own.","to show MPs through research and constituency-level engagement that food security depends on nature-friendly farming, and that not all farmers want to focus on ‘production at all costs’.",Rethink Food campaign with constituency advocacy,0,Morgan Lee,closed,managed,,,,
G-2205-89,125611,Next Approval Cycle,2022-02-28,The ultimate goal will be to define a series of action proposals to promote a socially just ecological transition in rural areas while Strengthen the work of the Local Action Groups2 in relation to the Climate Emergency,to strengthen the rural environment's response to the challenges posed by the climate emergency through participatory and awareness actions.,0,Climate challenges in rural environment & assessment of resilient recovery implementation,Alex Johnson,closed,closed,,,,
G-2205-90,257843,Next Approval Cycle,2023-03-28,"The Veblen Institute for economic reforms will focus its work on three areas specifically:
1. Advancing the subject of mirror measures. The goal is to implement ambitious unilateral mirror measures on agricultural imported products and explore other environmental mirror measures beyond agriculture.
2. Green the content of trade policy by raising the political “price” for pursuing current proposed trade agreements – at least CETA and EU/Mercosur. Furthermore it will: advocate for far-reaching changes in FTAs content and more generally for an ambitious revision of the TSD chapters; strengthen the tools for analysing the impacts of FTAs on sustainable development; define and begin to implement a strategy to reform WTO rules or at least their interpretation.
3. Reduce the scope of investment protection, specifically by?pushing to end fossil investment protection, starting with a coordinated withdrawal from the Energy Charter Treaty, and promote a broader reform of investment protection policy (for new but also existing IIAs).
This project fits in the overall strategy of the Trade for climate Campaign as our core objective is to support the advancement of the alignment of trade and climate both at the EU level and internationally which is exactly what this project is about by specifically targeting deliverables at the unilateral, bilateral and multilateral level.",to accelerate European trade policy reform in line with Green Deal objectives.,Acceleration of European trade policy reform in line with Green Deal objectives,0,Alex Johnson,granted,managed,,,,
G-2205-91,285958,Next Approval Cycle,2024-04-29,"This a follow up of 10 years long cooperation between the ECF and the grantee. Over that period the grantee has helped in raising public awareness of climate change and played significant role in helping development of public mobilization movements. The aim of the grant is to feed public debate with more insights on climate change and transition to the net zero economy. In 2022/2023 the biggest pressure will be put on development of crafted communication targeting different audiences (opinion leaders, general audience, vulnerable groups) and design of new more proactive means of communication via webinars, multimedia tools and social media channels.",to disseminate knowledge about human made climate change in order to gain support for emission reduction targets by developing the project of Naukaoklimacie.pl (Climate science web portal) and improving the reach of communication channels.,Naukaoklimacie.pl,0,Pat Taylor,granted,managed,,,,
G-2205-92,119383,Next Approval Cycle,2022-08-29,"This contract will allow Ruth Davis to continue leading the ICPH Nature Working Group in the following areas:
1. Strategy delivery: including by coordinating theme meetings with the ICPH network; drafting briefings agreed with the Secretariat; providing input to other theme meetings and briefings; supporting the work of the Secretariat increasing the impact of the network

2. Network development: creating a proposal to recruit new partners to participate in the network across a wider range of geographies, with the aim of broadening and deepening the inputs on nature, climate, and the food system, particularly from Africa and Asia. Provide recommendations on financial support packages to enable participation where appropriate, and a roadmap/plan for induct and support potential partners in the network

3. Influencing outcomes food and agriculture: in particular working with influencers to raise the profile of the food system at COP 27; to influence outcomes/next steps for the Koronivia Work Programme and the agriculture innovation and investment initiatives launched in and around COP 26.

4. Championing goals for nature, including through the CBD: providing regular briefings and convening strategy calls, identifying and sharing top-line demands and outcomes. Linking advocacy on global nature goals (and nature positive) into other key moments such as COP27 and ICPs contributions to these.

5. Challenging over-reliance on bioenergy and BECCs: including by convening a sub-group of ICP participants who wish to work on these issues (eg ECF, IDDRI, GSCC ) and supporting them to influence the debate/shape outcomes at G7, G20 (if appropriate), COP 27.

6. Highlighting the role of peatlands in mitigation and adaptation: working with Climate Catalyst to identify specific opportunities at COP 27.",to lead the International Climate Politics (ICP) Hub's Nature Working Group.,0,ICPH Nature Working Group Lead,Pat Taylor,granted,managed,,,,
G-2205-93,218070,Next Approval Cycle,2022-12-11,"This DPE is commissioning Shifting Paradigms to gather empirical studies on the potential consequences of embodied carbon regulation.
These empirical findings will be compiled in a briefing report, presenting the conclusions of the conducted analyses of economic impacts to manufacturers and end-users, hereunder the impact to housing prices. The commissioning includes an online presentation and workshop session with the purpose to equip ECF partners with sufficient data to justify their advocacy for political regulation of embodied carbon.","to map out the conclusions and findings in available literature on the economic impact of regulating the embodied carbon of new construction, both housing and infrastructure",0,Economic impacts of regulating embodied carbon in construction,Jordan Davis,closed,closed,,,,
G-2205-94,142782,Next Approval Cycle,2023-04-09,"This DPE is dedicated to the generation of intelligence on digital narratives around the green transition in Spain, the development of a digital strategy and the implementation of a test campaign to involve audiences outside the green bubble",to increase the presence of awareness and agency-generating narratives in digital media around the climate crisis to enable policies that favour the ecological transition,0,intelligence on non-polarising digital comms strategies,Jamie Smith,closed,managed,,,,
G-2205-95,296916,Next Approval Cycle,2022-06-15,"This DPE will promote inclusive, unbiased and quality debate among policymakers, stakeholders and EV influencers about prospects of decarbonisation of the transport with focus on company fleets and the future of EV production in the Czech Republic in the context of public debates at the European level.
Moreover, it will raise awareness of challenges of the transport decarbonisation and its opportunities among general public in the Czech Republic with particular focus on “self-sufficiency”, “workers requalification” and “energy independence and security” narratives.""",to promote the public debate on the decarbonisation of transport in the Czech Republic,0,Decarbonising Transport  CZ,Pat Taylor,closed,managed,,,,
G-2205-96,117386,Next Approval Cycle,2024-04-25,"This grant aims to support the mobilization and awareness campaigns of the platform Gas No Es Solución, an alliance of Spanish NGOs against new gas infraestructures. Special attention will be paid to MidCat",to increase awareness on the impact of gas among general public,Gas is not the Solution,0,Morgan Lee,closed,managed,,,,
G-2205-97,205243,Next Approval Cycle,2022-05-30,"This grant funds the 3rd project year of the Climate Science News Network program in Serbia to strengthen the scientific, fact-based communication about climate change and climate action in the Serbian public discourse. During this grant period the aim is to continue to reinforce the credibility of klima101.rs as the main source of scientifically proven information regarding climate change; to continue to engage the academia in the country helping them speak publicly about topics that are important for the public interest; working closely with selected scientists and experts and helping them gain more recognition in the media; continue working on the improvement of the cooperation with mainstream media in the country and explore other ways of cooperation other than republishing articles; expanding the media network to some specialized online portals and magazines. KPIs include 40 articles written by experts and 10 feature stories published; maintaining the diversity of experts, at least 20 expert authors will publish for Klima101 in the next project cycle; carefully curating and expanding the list of authors – at least 5 new expert authors writing for the website.",to amplify the voice of science and to increase both in terms of quality and quantity the media coverage on climate change and climate action in Serbia,CSNN Serbia,0,Jordan Davis,closed,managed,,,,
G-2205-98,95251,Next Approval Cycle,2023-07-24,"This grant funds the second project year of the Climate Science News Network program in Albania to strengthen the scientific, fact-based communication about climate change and climate action in the Albanian public discourse. After establishing its brand and role in the first project year, in the upcoming 12 months, the grantee will continue publishing articles written by local scientists and researchers and offering those to the mainstream media, while constantly working on widening its networks of scientists and media partners. Beyond that, this grant also funds widening the scale of activities in line with the fundamental goal of the project, including training on climate journalism and mass media communication as well as the establishment of a prize for journalists covering climate change.",to amplify the voice of science and improve the media coverage of climate change and climate action in Albania,CSNN AL + KOS,0,Morgan Lee,granted,managed,,,,
G-2205-99,54572,Next Approval Cycle,2022-02-23,"This grant is building on previous work of Bellona in the Netherlands, Belgium and Germany. The  main  goal  of  the  grant  is  to  develop and  advocate  for an  environmentally  robust  model and governance system for CCS deployment in the context of industrial climate action within the EU and the countries covering the ARRRA-cluster (notably Netherlands, Belgium and Germany). Moreover, it also aims at ensuring that the deployment of CO2 transport and storage infrastructure happens in a coordinated way across the borders in the region. 

Bellona will focus on establishing close collaboration with the national NGOs and unions in the Netherlands, Belgium, and North Rhine-Westphalia. Further, convening of industrial stakeholders to discuss the governance model of CCS is also one of the main objectives of the grant. Within this grant, Bellona will:
1) Build capacity and form coalitions with NGOs and industry in order to advance cross-border CCS infrastructure
2) Generate political momentum (through a conference) and advocate for the inclusion of cross-border CO2 infrastructure in key policies",to build capacity in civil society and support CCS (cross-border) infrastructure deployment in the context of industrial climate action within the EU and specific member states.,Capacity Building in civil society and support CCS,0,Jamie Smith,granted,managed,,,,
G-2205-100,25030,Next Approval Cycle,2023-10-15,"This grant will allow Georgina Chandler from RSPB to support the ICPH Nature Working Group in the following areas:
1. Strategy delivery: including by coordinating theme meetings with the ICPH network; drafting briefings agreed with the Secretariat; providing input to other theme meetings and briefings; supporting the work of the Secretariat increasing the impact of the network  

2. Network development: creating a proposal to recruit new partners to participate in the network across a wider range of geographies, with the aim of broadening and deepening the inputs on nature, climate, and the food system, particularly from Africa and Asia.  Provide recommendations on financial support packages to enable participation where appropriate, and a roadmap/plan for induct and support potential partners in the network 

3. Influencing outcomes food and agriculture: in particular working with influencers to raise the profile of the food system at COP 27; to influence outcomes/next steps for the Koronivia Work Programme and the agriculture innovation and investment initiatives launched in and around COP 26. 

4. Championing goals for nature, including through the CBD: providing regular briefings and convening strategy calls, identifying and sharing top-line demands and outcomes. Linking advocacy on global nature goals (and nature positive) into other key moments such as COP27 and ICPs contributions to these.  

5. Challenging over-reliance on bioenergy and BECCs: including by convening a sub-group of ICP participants who wish to work on these issues (eg ECF, IDDRI, GSCC ) and supporting them to influence the debate/shape outcomes at G7, G20 (if appropriate), COP 27.  

6. Highlighting the role of peatlands in mitigation and adaptation: working with Climate Catalyst to identify specific opportunities at COP 27.",to support the delivery of the ICP nature theme strategy.,ICPH Nature Working Group Support,0,Pat Taylor,closed,managed,,,,
G-2205-101,199220,Next Approval Cycle,2022-11-04,This grant will contribute to mantain the ecological transition observatory run by BC3. They will also develop a set of indicators to define vulnerabilty in mobillity and to have update figures on energy poverty,to track and ensure a just energy transition,Indicators on vulnerability and energy poverty,0,Alex Johnson,granted,managed,,,,
G-2205-102,158464,Next Approval Cycle,2023-03-15,"This grant will develop an strategy to advance the definition and support to a rural green deal, developing narratives to support the Green Transition as an opportunity for the development of the so-called Empty Spain. In paralel, the grant will coordinate the production of stories illustrating this concept by finding success stories and publishing them in regional media.",to contribute to increase the connection between green transition and demographic challenge in Spanish society as an unprecedented opportunity and to gain greater support for climate action at local level and counteract increasing anti-climate narratives,0,create narratives connecting green transition and demographic challenge in Spain,Morgan Lee,granted,managed,,,,
G-2205-103,217887,Next Approval Cycle,2022-01-25,This grant will develop hyperlocal communications in Castilla y Leon (first European region with the far right in the government) to illustrate the opportunity that the Green Transition presents for depopulated Spain. This will be done through audiovisual materials and placed in regional TV and online.,to raise awareness on how rural development can help mitigate the effects of climate change,0,awareness-raising for the green transition as a solution for the depopulation of rural areas,Jamie Smith,granted,closed,,,,
G-2205-104,76050,Next Approval Cycle,2023-01-11,"This grant will further support Youth Ki Awaaz’ (YKA’s) efforts facilitate a society-wide conversation on India’s pathways to reach net zero. Through citizen centric tools, they will promote an engaged public debate on how to build a sustainable, thriving and just economy with the end goal of carbon neutrality by the pledged timeline. 

Under the scope of the proposed project, YKA will: 

Develop and strengthen the next phase of ZeroSeHero campaign with a focus on COP 26 

Expand Policy Par Charcha dialogues to strengthen policy maker engagement on subnational net zero commitments   

Organise workshops to strengthen citizen engagement and advocacy on net zero and climate change","to engage India’s youth in support of the country’s goal to reach net zero, increase public conversation with policy makers around this issue, and impact the political dialogue around the development of the LTS.",0,Reinforcing the need for India to create net-zero centric policies and developing an LTS.,Jamie Smith,closed,managed,,,,
G-2205-105,110596,Next Approval Cycle,2022-09-13,This grant will help build a broad consensus behind one element of whole-economy low-carbon transition and international climate leadership: action on the embodied emissions of products imported into the UK. The grant will help pilot a campaign that eventually aims to get governments of the G7 to act on supply chain emissions through the introduction of carbon border adjustment mechanisms.,to build and harness popular support to account for and reduce the UK's offshored emissions,Reduce the UK’s offshored emissions,0,Alex Johnson,closed,managed,,,,
G-2205-106,268275,Next Approval Cycle,2022-08-01,"This grant will seek to inform the security and defence communities about the relationship between fossil energy and state capture, autocracy, instability, and exploiting energy dependencies. It will also point to the benefits of green energy transition for peace and stability. The focus will be on actors in the formation of European policy, including the EU institutions, and the bigger EU member states that typically have a stronger sway on EU foreign policy and defence cooperation. A case study will be conducted on Kazakhstan, where higher prices of gasoline triggered violent protests at the start of 2022. A link will be made with the EU Climate and Security Defence Roadmap and the EEAS Concept for an Integrated Approach on Climate Change and Security, as well as new initiatives and the follow-up to the External Energy Engagement strategy (such as the Energy Facility, the inclusion of green energy transition into the Global Gateway, etc). 

The aim of the project is to see the inclusion of fossil energy as a risk in mainstream foreign policy and security debates, such as the Munich Security Conference, the GLOBSEC Bratislava Forum, and EU Council Conclusions on climate-security or the external dimension of the European Green Deal. Where energy transition as risk factor is now often an afterthought in reports and debates on climate-security, the risks of petrostates derailing and fossil energy interests and dependencies undermining peace and stability should receive more prominence.",to raise awareness in the European foreign and security communities about the risks associated with fossil fuels and the benefits of green energy transition for peace and stability in order to encourage them to support more explicitly renewable energy transition investments as way to enhance peace and stability.,Advocacy for transition investments as way to enhance peace and stability,0,Jamie Smith,closed,managed,,,,
G-2205-107,18942,Next Approval Cycle,2023-10-05,"This grant will support Amnesty International to increase the research, advocacy and campaigning capacity of its Energy Transition Project team to ensure that respect for human rights is central to the take up of electric vehicles.","to raise and regulate business standards in human rights, environmental, and climate due diligence and disclosure in the battery value chain.",Campaign on corporate responsibility along the EV battery supply chain,0,Jordan Davis,closed,managed,,,,
G-2205-108,143653,Next Approval Cycle,2024-05-09,This grant will support CAN-Europe in its work ensuring ambitious climate action in the 2021-2027 EU budget and national and regional EU funds’ spending plans in the context of the Ukraine crisis. The work will focus on aligning both EU budget and NGEU financial flows (including national and regional EU funds spending plans) with the “fit for 55” 2030 climate and energy framework and RepowerEU Targets.,to align the EU budget and NGEU financial flows (including national and regional EU funds spending plans) with the 'fit for 55' 2030 climate and energy framework and RepowerEU targets.,EU budget fit for climate ambition,0,Alex Johnson,granted,managed,,,,
G-2205-109,274445,Next Approval Cycle,2024-02-27,"This is a continuation of the work by Stefan Scheuer Consulting (STS) to advocate for higher ambition and stronger governance in the Energy Efficiency Directive and the Energy Performance of Buildings Directive, on behalf of Deneff.",to foster support from the German Government and MEPs for a progressive and ambitious energy efficiency policy,0,Support DENEFF in advocacy for an ambitious and effective EU energy efficiency policy in the Fit for 55 package,Jordan Davis,closed,managed,,,,
G-2205-110,130045,Next Approval Cycle,2024-04-28,This is the renewal of the grant for Habitat for Humanity Bulgaria to continue advocating for inclusive and financially-sustainable renovation and renewable energy programmes for low-income households as well as communications efforts to raise public awareness about the national renovation programme.,"to contribute to the increase of the scale, the speed and the depth of the energy renovation of the residential buildings in Bulgaria in a just way and taking into accounts the households’ social status.",Energy poverty in Bulgaria,0,Pat Taylor,closed,managed,,,,
G-2205-111,100211,Next Approval Cycle,2023-10-13,"This project is about establishing the Greece branch of the Climate Science News Network, so, in order to raise awareness and amplify the voice of science about climate change and climate action in Greece. The basis of the project is ClimateBook (www.climatebook.gr), a scientific information hub, which was launched by a group of Greek weather climate and computer scientists on a voluntary basis in November 2021. With the funding from ECF, WWF Greece is willing to improve the project, increase scientific and fact-based familiarization of Greek mainstream media on climate change and its consequences through the support of a climate science news agency, and help build new audiences by involving the Greek science sphere in the public discourse.",to increase scientific and fact-based familiarization of Greek mainstream media on climate change and its consequences through the support of a climate science news agency to help build new audiences by involving the Greek science sphere in the public discourse,CSNN GR,0,Morgan Lee,granted,managed,,,,
G-2205-112,228748,Next Approval Cycle,2023-04-21,"This will be the first grant that the Buildings Programme is providing to Friends of the Earth Spain in order to work on advocacy, movement building and communications work around public demands for a more efficient and better quality housing stock.","to lobby the government to implement and develop real solutions to energy poverty through citizen mobilisation, political pressure and public campaigning.",Energy poverty in Spain,0,Alex Johnson,closed,closed,,,,
G-2205-113,212107,Next Approval Cycle,2022-07-16,"This DPE is the continuation of the previous work on citizen laboratories focused on providing a coordinated response from citizenship to climate change in Spain. The objectives of the project are to continue with the work on the collaborative map to deepen the knowledge of organizations working on climate change in Spain, and continue developing the workstream of establishing citizens labs around climate change on vulnerable districts in Madrid. The project will support the creation and activation of diverse social movements, promoting informed citizen participation in climate movement at local level.",to support development of citizens labs on climate change and deepen the knowledge of organization working on climate change in Spain.,0,Villaverde Citizens labs and national collaborative map,Jordan Davis,granted,closed,,,,
G-2205-114,203397,Next Approval Cycle,2022-08-04,"Through this grant The Good Lobby will build on the work done under G-2103-61778, launching the second edition of their Climate Movements Incubator, a tailored training programme to boost the role of social movements within the climate community.",to boost the role of social movements in the climate community and upskill their members.,"Climate Movements Incubator, Edition 2.0",0,Alex Johnson,granted,managed,,,,
G-2205-115,273709,Next Approval Cycle,2024-01-01,"Through this grant, and building on 2021's work under G-2105-62056, Stiftung KlimaWirtschaft will continue building a progressive, cross-sectoral group of European industry frontrunners at the CEO level with the ability to strengthen the architecture and business case for the implementation of the Fit for 55 Package.",to continue building up a progressive group of industry frontrunners for preventing a pushback against the EU Green Deal and for strengthening the implementation of the EU Fit for 55 Package at the national level.,CEOs engagement in EU Policy,0,Alex Johnson,granted,managed,,,,
G-2205-116,93468,Next Approval Cycle,2023-05-01,"Through this grant, and building on the work done through G-2106-62252, the Center of energy efficient solutions (CER), Slovenia's sustainable business network, will work in order to raise awareness on the European green deal in Slovenia, and change business attitude about a climate-neutral economy.",to raise awareness and engagement on Green Deal in Slovenia - second part,EGD in Slovenia,0,Pat Taylor,closed,managed,,,,
G-2205-117,260497,Next Approval Cycle,2024-04-14,"Through this grant, and building up on the previous year work (G-2107-62379), Youth and Environment Europe will work towards bridging the gap between youth environmental activism and legal engagement, by developing a youth environmental law hub and focusing on access to justice.",to empower youth about environmental law to bring a youth voice on environmental governance to the EGD process and develop a youth environmental law hub,access to justice and youth,0,Alex Johnson,closed,managed,,,,
G-2205-118,273014,Next Approval Cycle,2023-05-11,"Through this grant, CAN-E will seek to improve the EU's international leadership on climate on various fronts. First, they will seek to improve the EU's position on COP27, especially when it comes to adaptation and loss and damage and thus its role as honest broker and bridge-builder with developing countries. Second, CAN-E will convene EU NGOs and partners from Africa and Asia for joint advocacy towards successful outcomes in COP27 and preparation of COP28 and the global stocktake. Third, CAN-E will provide analysis in how the EU can enhance ambition through the Fitfor55 and RePowerEU packages. Fourth, analysis will be prepared on improving Green Deal diplomacy.","to contribute to the EU playing a driving role for ambitious international climate policies and cooperation, in line with the goals of the Paris Agreement, in particular the 1.5°C limit and the increase of climate finance to developing countries.",International Climate policies,0,Jordan Davis,closed,managed,,,,
G-2205-119,134736,Next Approval Cycle,2023-09-13,"Through this grant, renewal of G-2107-62294, Carbon Market Watch will continue their work towards strengthening the contribution of the EU ETS and carbon pricing policies to meet higher ambition climate targets; by building capacity among civil society and expanding the knowledge base through reports, studies and briefings.",to enhance climate governance and optimise the functioning of the EU Emissions Trading System (ETS) through scientific assessment and stronger public participation.,LIFE ETX consortium year II,0,Jamie Smith,closed,managed,,,,
G-2205-120,188131,Next Approval Cycle,2023-10-06,"Through this grant, ShareAction will continue their campaign towards increasing investor engagement with European chemical companies with the aim of harnessing the power of the financial system to help achieve a climate target of well below 2°C. In particular, ShareAction aims to continue growing their coalition of investors committed to the decarbonisation of the European chemicals sector, identify and close knowledge gaps through research and the publication of briefings, strategic engagement with investors and corporate sustainability teams and the socialisation of best practices. Ultimately, a few companies will be identified where additional investor pressure is required, of which ShareAction will consider escalation which could include coordinating shareholder resolutions or votes against directors in the 2023 AGM season. Finally, ShareAction will carry out a targeted, strategic communications campaign to maximise the effect of investor action to create pressure on companies to act. The actions above will contribute to an overarching goal of ensuring the chemical companies in the target group are held accountable on decarbonising their operations with a clear strategy and achievable timebound commitments. This grant will help the Industry program continue engagement with the investor community and mobilise the private sector towards supporting more sustainable business models.",to increase the level of investor engagement with European chemical companies in order to meaningfully advance their progress towards net zero in 2050.,Investor engagement with European chemical companies,0,Morgan Lee,closed,managed,,,,
G-2205-121,218516,Next Approval Cycle,2022-05-14,"Through this grant, the Just Transition Centre, in collaboration with the European Trade Union Confederation and IndustriAll Europe, will continue their work aimed at supporting trade unions in making the European Green Deal, the Green Recovery and the Just Transition Mechanism good for workers, and contributing to bring down emissions in line with European climate targets. A specific focus will be given to increase support in the labour movement for a socially just transition in specific sectors, between the automotive industry, heavy industry, and others. Moreover, in the context of high energy prices across the EU and the publication of the RePowerEU plan, this project will also look at how to ensure that EU initiatives dealing with the current energy crisis are worker-centred.","to broaden the base of support for just transition to more sectors/workers, ensure that EU initiatives to deal with current energy crisis are worker-centred, evaluate delivery of sectoral and regional plans for Just Transition that maintain and create decent jobs and cut emissions consistent with EU climate targets.",Trade Union support for Green Deal and Just Transition,0,Alex Johnson,granted,managed,,,,
G-2205-122,37937,Next Approval Cycle,2023-11-11,"to accelerate the just energy transition from coal to renewables and the shutdown of priority coal and lignite installations in Central and Eastern Europe, while nurturing and boosting the impacts of climate movements.",to accelerate the just energy transition from coal to renewables and to campaign against lock-in to gas in Central and Eastern Europe.,Accelerate the energy transition from coal to renewables in Eastern Europe,0,Morgan Lee,granted,managed,,,,
G-2205-123,205550,Next Approval Cycle,2023-10-01,"To continue with provision of technical assistance and support, general education and awareness raising campaigns and advocacy activities in order to foster and facilitate changes in exiting legislation and creation of favorable and supportive environment for formation and growth of Energy communities and large-scale citizen participation in energy transition in Croatia.",to foster formation and growth of Energy communities and large-scale citizen participation in energy transition in Croatia.,Energy communities,0,Alex Johnson,closed,managed,,,,
G-2205-124,159192,Next Approval Cycle,2023-05-14,to coordinate joint NGO work and efforts on coal-related EU policies.,to accelerate the coal-to-clean energy transition in the EU,Coordinate joint NGO work on coal-related EU policies,0,Pat Taylor,closed,managed,,,,
G-2205-125,121597,Next Approval Cycle,2024-05-06,to enhance the implementation of the just transition in Europe with a particular focus on coal regions.,"to push for best practice in just transition processes, including supporting an effective design for the proposed Social Climate Fund",Just transition in Europe,0,Jamie Smith,closed,managed,,,,
G-2205-126,261167,Next Approval Cycle,2023-12-19,To increase the speed of electrification of vans and trucks in Norway.,to increase the speed of electrification of vans and trucks in Norway.,electrification of vans and trucks in Norway,0,Jordan Davis,closed,managed,,,,
G-2205-127,103645,Direct Board Authority (Over 750k),2022-08-12,To shape the narrative around the decarbonization of the German transport sector so that it is understood to be necessary as well as technically and economically feasible, to enable stakeholders and decision makers to better understand possible transport transformation pathways, and to educate them about the results of Agora’s work.,to shape the narrative around the decarbonization of the German transport sector so that it is understood to be necessary as well as technically and economically feasible,Jordan Davis, and to educate them about the results of Agora’s work.,2022,0,0,closed,managed
G-2205-128,237279,Next Approval Cycle,2023-07-29,to strengthen the organisational foundations for Possible to increase campaign reach and impact.,to strengthen the organisational foundations for Possible to increase campaign reach and impact.,core funding,0,Pat Taylor,closed,managed,,,,
G-2205-129,175023,Next Approval Cycle,2023-01-08,VCO will raise public and political awareness of the important role of zero-emission road haulage in Austria during the politically important process of implementation of the freight transport master plan and ahead of and during the legislative procedure of the CO2 standards for HDVs.,"to reflect the important role of zero-emission road freight transport and city logistics. To support a strong national position on the phase out of ICE cars and vans as well as implementation of CO2-limits. To push for clean mobility, traffic calming measures, and high air quality for livable cities.",Zero emission trucking in Austria,0,Jamie Smith,closed,managed,,,,
G-2205-130,187706,Next Approval Cycle,2023-02-28,"With the review of the EU HDV CO2 emissions standards expected at the end of 2022, the main focus of the T&E freight team in the 2nd half of 2022 will be to secure ambitious Commission proposals on truck CO2 standards. At the same time there will be a number of other EU files still ongoing where T&E will seek successful completion of the negotiations for the Fit for 55 files (AFIR and van CO2 standards) and ensure a good start of the co-decision discussion for Euro VII. Finally, there will be national level work where T&E aims to strengthen the advocacy and coalition work done at national level and prepare the ground in view of the upcoming important national policy discussions on trucks which will be heating up in 2023.",to accelerate the transition to zero-emission vans and heavy-duty vehicles,Trucks,0,Jamie Smith,closed,managed,,,,
G-2205-131,20000,Next Approval Cycle,2024-07-11,"With this grant, we support WWF Germany in initiating a work stream on heat and buildings. This entails a new position for a project coordinator, who will work with colleagues from existing WWF teams (energy, finance, circular economy and others) to set up a holistic heat and buildings work stream. A key output of the grant will be a roadmap on renewable heat to guide the “Wärmewende” in Germany, two policy briefs, as well as accompanying advocacy and communication work. The grant also entails the development of a detailed advocacy strategy in the first two months, to then be implemented in throughout the remaining project, and the participation of WWF in various networks and collaborative projects on the issue.",to accelerate the energy transition in the building and heating sector,Work stream on heat and buildings,0,,granted,managed,,,,
Total,19664997,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Applied filters:
board_approval_date is BM2. June 28-29 2022",,,,,,,,,,,,,,
